"Map View","지도보기"
"Store Locator Information","매장정보"
"your Api key is not valid","Api 키가 유효하지 않습니다."
"You Delete this Store Information.","매장 정보를 삭제하였습니다."
"You saved this Store Information.","매장 정보를 저장하였습니다."
"Unable to find history with ID ""%1""","ID가 ""%1""인 기록을 찾을 수 없습니다."
"Find a Store","매장찾기"
"Find a Store near you","스토어안내"
"Enter city, postcode or location","도시, 우편번호 또는 위치를 입력하십시오."
"A store around my location","내 위치 주변 매장"
"All Store Types","모든 매장타입"
"Department stores","백화점"
"Outlet stores","아울렛"
"Retail stores","대리점"
"Duty Free stores","면세점"
"We found <strong>%1 stores</strong> near your location","주변의 <strong>%1개 매장</strong>을 찾았습니다."
"Map Key","지도 키"
Tel,Tel
Km,Km
"Store Title","매장명"
"Opening Time","영업시작 시간"
"Closing Time","영업종료 시간"
"Opening hours","운영시간"
"Store Country","매장 국가"
"Store Type","매장타입"
"<strong>%1</strong> result","<strong>%1</strong>개"
"<strong>%1Km</strong> away from your location","<strong>%1Km</strong> 떨어진 곳에 있습니다."
Get Directions,길찾기
"No store exist for this address in this store view","주소에 대한 매장정보가 없습니다."
"Store Locator","매장정보"
"Eguana Stores Config","매장정보 설정"
"Manage Store Locations","매장정보 관리"
"Eguana Store Locator","매장정보"
"General StoreLocator","기본 매장정보"
"Google Map Api key","Google지도 Api키"
"Naver Map Client Id","Naver지도 Client Id"
"If defualt country is korea then naver map will be used.","만약 나라가 한국이라면, Naver지도가 사용됩니다."
"Naver Map Secret","Naver지도 Secret"
"Search Radius limit","검색 반경 제한"
"Frontend Stores Map","프론트 매장지도"
Map_Height,지도 높이
"Map Zoom","지도 Zoom"
"Admin Stores Map","어드민 매장지도"
"Default Location","기본좌표"
"Icon Weight","아이콘 넓이"
"Icon Height","아이콘 높이"
"Icon Content","Icon Content"
"Map Viewer","지도보기"
Telephone,전화번호
"Map Location","위치좌표"
"Stores Pagination","매장정보 페이징"
"Select number of stores show per page","페이지당 매장정보 수 선택"
"Show 5 stores per page","페이지당 5개 매장정보 표시"
"Show 10 stores per page","페이지당 10개 매장정보 표시"
"Show 15 stores per page","페이지당 15개 매장정보 표시"
"Please enter your current location","현재 주소를 입력하십시오."